ImageName,Embedding
1_10004_u_1,"[[-0.07372575  0.21429881 -0.1794034  ...  0.30755132 -0.09263062
  -0.08072469]
 [-0.06894201  0.18558879 -0.15690058 ...  0.26628637 -0.0697218
  -0.09499107]
 [-0.07308988  0.21416707 -0.16725162 ...  0.31053805 -0.09465478
  -0.0568886 ]
 ...
 [ 0.02284998  0.16851942 -0.20472857 ...  0.19699824 -0.05457597
  -0.18904302]
 [ 0.03966294  0.19214395 -0.2156643  ...  0.19633202 -0.05752913
  -0.1908002 ]
 [ 0.13414915  0.21323366 -0.08107976 ...  0.10327335 -0.16452065
  -0.21652707]]"
1_10004_u_2,"[[-0.0727735   0.20989285 -0.1743168  ...  0.30476493 -0.08754969
  -0.09848214]
 [-0.0606039   0.17963377 -0.15556195 ...  0.26247907 -0.06157662
  -0.10504618]
 [-0.07800712  0.21843404 -0.17337391 ...  0.31666297 -0.10134085
  -0.06757513]
 ...
 [ 0.07833117  0.12358254 -0.21017161 ...  0.13838252 -0.12000535
  -0.22500984]
 [ 0.08624205  0.17850317 -0.21557781 ...  0.15257342 -0.14966857
  -0.23164526]
 [ 0.19993949  0.15554251 -0.04405645 ...  0.0298059  -0.18588099
  -0.2925552 ]]"
1_10004_u_3,"[[-0.083818    0.21736531 -0.17206523 ...  0.31004328 -0.09382795
  -0.06834734]
 [-0.07403031  0.17433184 -0.13643208 ...  0.26877418 -0.06805895
  -0.06286086]
 [-0.07903886  0.21508807 -0.16238105 ...  0.31286788 -0.09891434
  -0.04047577]
 ...
 [ 0.136254    0.12077983 -0.18374678 ...  0.07528234 -0.1743913
  -0.2716848 ]
 [ 0.0316154   0.24013503 -0.22605973 ...  0.20572011 -0.13258134
  -0.17093784]
 [ 0.15827413  0.11991061 -0.09030309 ...  0.04254829 -0.24482527
  -0.26926884]]"
1_10004_u_4,"[[ 0.00943958  0.16142787 -0.20820019 ...  0.21204329 -0.03936993
  -0.1739164 ]
 [ 0.01291935  0.16261424 -0.22751087 ...  0.20771053 -0.04996728
  -0.18030848]
 [-0.0294799   0.20309411 -0.21087652 ...  0.2752233  -0.09042536
  -0.13466865]
 ...
 [ 0.02079954  0.15435764 -0.21658179 ...  0.20539193 -0.05831586
  -0.16817997]
 [-0.01251674  0.16349643 -0.17495736 ...  0.2263143  -0.04753179
  -0.14512442]
 [-0.02196219  0.14994098 -0.19080675 ...  0.21553278 -0.06442668
  -0.12449959]]"
1_10009_u_1,"[[-0.03027499  0.11904939 -0.07873727 ...  0.19361049  0.0062485
  -0.09070629]
 [-0.02064357  0.13684061 -0.11961097 ...  0.20716281 -0.00389769
  -0.11813343]
 [-0.06229936  0.18947905 -0.1475896  ...  0.27103317 -0.07577381
  -0.11605395]
 ...
 [ 0.00881354  0.1903629  -0.17759886 ...  0.21836147 -0.04503483
  -0.16186652]
 [-0.02558951  0.20509623 -0.18705925 ...  0.24549097 -0.04196167
  -0.15622506]
 [-0.04299541  0.19029824 -0.13865525 ...  0.24357241 -0.01775315
  -0.12419275]]"
1_10009_u_2,"[[ 0.09491993  0.12610565 -0.21883759 ...  0.15540509 -0.10741705
  -0.2007213 ]
 [ 0.14861469  0.11063965 -0.23533493 ...  0.09452197 -0.10993075
  -0.2577279 ]
 [ 0.04969716  0.14068362 -0.23114756 ...  0.20657057 -0.08258635
  -0.17452693]
 ...
 [ 0.14418747  0.10598053 -0.19361821 ...  0.05335423 -0.07506786
  -0.25470313]
 [ 0.07332659  0.13705765 -0.20515311 ...  0.18313965 -0.03995783
  -0.15852363]
 [ 0.15339586  0.09322461 -0.218847   ...  0.06154098 -0.03125771
  -0.21939321]]"
1_10009_u_3,"[[-0.00199383  0.22260681 -0.27597862 ...  0.26198047 -0.12296906
  -0.19677031]
 [-0.01764045  0.23319669 -0.2690876  ...  0.2737346  -0.1306408
  -0.17825733]
 [-0.01639744  0.2812578  -0.24025115 ...  0.2736012  -0.21947367
  -0.16961631]
 ...
 [-0.03500324  0.20299223 -0.20965001 ...  0.25980446 -0.08999981
  -0.14517686]
 [-0.04805723  0.24197018 -0.24709901 ...  0.26967618 -0.15240762
  -0.14325622]
 [-0.05267382  0.22332388 -0.22365963 ...  0.27461064 -0.10940811
  -0.13706137]]"
1_1001_u_1,"[[ 0.05116756  0.10012464 -0.15510708 ...  0.15338477 -0.02602718
  -0.1399737 ]
 [ 0.13714385  0.10362633 -0.23594767 ...  0.10956778 -0.09179235
  -0.22035123]
 [ 0.21068205  0.05207743 -0.1735785  ...  0.05486563 -0.14098166
  -0.30021733]
 ...
 [ 0.14696534  0.11112794 -0.2657035  ...  0.13451554 -0.10321645
  -0.2328194 ]
 [ 0.08122772  0.1283496  -0.24316972 ...  0.18426663 -0.06324445
  -0.20522732]
 [ 0.20552789  0.07809225 -0.20760992 ...  0.04807741 -0.11287501
  -0.30862236]]"
1_1003_u_1,"[[ 0.06010919  0.11466396 -0.16983798 ...  0.16599596  0.01364962
  -0.14835888]
 [ 0.01759793  0.13814759 -0.16661182 ...  0.21025461 -0.01934925
  -0.11923027]
 [ 0.08656317  0.11120194 -0.14101443 ...  0.10567734  0.007006
  -0.1012146 ]
 ...
 [ 0.02631084  0.1597367  -0.19408724 ...  0.22862999 -0.07025135
  -0.12721416]
 [ 0.08156569  0.14756066 -0.23230076 ...  0.18840405 -0.0533572
  -0.19043571]
 [ 0.0251851   0.17872837 -0.214544   ...  0.24476999 -0.08261093
  -0.14458677]]"
1_1003_u_2,"[[ 0.04703693  0.14673324 -0.19977584 ...  0.20939429 -0.03326882
  -0.16494547]
 [-0.01029826  0.15743567 -0.18087769 ...  0.23918349 -0.0543128
  -0.11330645]
 [ 0.0727099   0.1533841  -0.20795554 ...  0.21107405 -0.065795
  -0.16554284]
 ...
 [-0.02448582  0.13437022 -0.11922766 ...  0.2352257  -0.08214776
  -0.04690906]
 [-0.00083468  0.1375203  -0.13566849 ...  0.23262256 -0.08897252
  -0.06400545]
 [-0.02197982  0.08061545 -0.07393894 ...  0.1990997  -0.04011734
  -0.01814536]]"
1_10190_u_1,"[[ 0.07705316  0.03825076 -0.03701453 ...  0.01107242  0.05425224
  -0.08484185]
 [ 0.00717238  0.05261877 -0.02181032 ...  0.13481453  0.04122069
   0.00318656]
 [ 0.10057327  0.06541019 -0.08616276 ...  0.04008275  0.08177514
  -0.11239915]
 ...
 [ 0.03362511  0.07107134 -0.05346766 ...  0.19606455 -0.11895248
   0.08045885]
 [-0.01515042  0.15326817 -0.16515532 ...  0.25044277 -0.08243363
  -0.08531885]
 [ 0.09016667  0.02816097 -0.04819972 ...  0.11330475 -0.13068233
   0.0528698 ]]"
1_10190_u_2,"[[ 0.04856047  0.10726108 -0.12748799 ...  0.14330435  0.02007232
  -0.15066768]
 [-0.02366577  0.14125073 -0.10625181 ...  0.20838633 -0.00930792
  -0.10176432]
 [ 0.10794742  0.109494   -0.13538101 ...  0.12649634  0.08589147
  -0.16450061]
 ...
 [-0.04563982  0.13972425 -0.08547604 ...  0.25530297 -0.05061027
  -0.02270357]
 [-0.04582315  0.17890057 -0.14420778 ...  0.27087888 -0.06475116
  -0.09040871]
 [-0.02331409  0.12987599 -0.10509967 ...  0.24120325 -0.06475776
  -0.02543256]]"
1_10190_u_3,"[[-0.04657025  0.1756337  -0.15435079 ...  0.23044227 -0.0323086
  -0.11727151]
 [-0.05785811  0.14191987 -0.07689016 ...  0.21836732 -0.00524992
  -0.07039649]
 [-0.06194759  0.1947736  -0.14846346 ...  0.25724372 -0.02909468
  -0.12150163]
 ...
 [-0.08121862  0.17080425 -0.11079979 ...  0.28965634 -0.07482903
  -0.02376428]
 [-0.08535397  0.1997964  -0.16828722 ...  0.30129385 -0.07516913
  -0.09648092]
 [-0.05825924  0.1445352  -0.10464164 ...  0.269177   -0.07982083
  -0.00739763]]"
